,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Marital Status, Marriages and Divorces",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Marital Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Singapore Residents Aged 20 Years & Over By Sex, Age Group And Marital Status, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 30/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number
  Married,448000,448700,427500,410400,419400,389200,370400,364400,358000,351700,331200,328200,291500,274300,259900,235900,232300,210000,196100,189500,170300,174200,174100,165900,152400,147900,141300,135800,131500,122700,128700,116600,117400,107400,105100,97000,96400,89500,87900,84900,83300,81600,78500,70400
  Widowed,38600,31200,31700,36900,37100,38500,35800,38900,43000,42400,40500,36700,37400,34000,32600,36600,35400,36800,37200,35100,32600,39000,41700,37900,39700,35000,43500,38400,38000,40500,37400,41500,36400,40000,36200,37400,35100,33400,30800,30900,28800,26500,29700,30200
  Divorced/Separated,38800,36500,38100,35800,31200,32800,30400,27400,25800,24200,22700,22300,20200,18600,17300,14100,13800,11600,11300,8900,7800,7900,7500,6000,6200,5600,4400,3200,2500,3100,3100,2900,2900,2800,2900,1800,2300,2100,2200,1600,1700,1000,700,1300
Males Aged 60-69 Years,286100,282000,270300,268000,268900,251300,244600,235400,229900,229100,211600,208500,189100,174500,164900,150900,144800,133900,126000,120100,107200,112600,112200,105900,99100,95100,94200,88700,86800,84700,84800,81600,79500,77200,74100,70200,65900,62800,61500,59400,57900,55100,56800,52500
  Single,26300,28000,24200,26100,26700,23500,23200,20000,19200,17600,15900,14800,13000,12500,9800,10000,8200,9200,7300,7300,6000,6300,5900,5700,4900,5100,4600,4300,4200,4900,4300,3900,3800,4200,2800,4200,2400,2000,2000,2100,2000,1700,2200,2400
  Married,236900,232500,224800,219800,222400,208200,204000,197900,193500,193300,180800,179800,162700,150800,144300,130300,125300,116000,108200,104900,94100,98600,97400,92100,86600,83000,81300,77100,76100,71500,74000,70000,69900,65200,64000,58300,57600,55100,54400,51600,50700,49300,49700,44500
  Widowed,7900,6700,6200,8600,7900,7700,7600,8100,8000,8700,6800,6300,6200,4600,5000,5600,5800,5000,6500,5100,4300,4900,6000,5900,5400,4800,6400,6300,5400,6800,5300,6500,4600,6700,6300,6900,5200,4900,4100,4900,4500,3800,4600,5100
  Divorced/Separated,15000,14900,15000,13600,11800,11900,9800,9400,9200,9500,8200,7700,7200,6500,5800,5100,5500,3700,3900,2900,2800,2700,2800,2100,2200,2200,1900,1000,1000,1400,1100,1200,1200,1100,1000,700,700,800,1000,700,800,300,300,600
Females Aged 60-69 Years,302400,297700,282200,277900,280200,264100,246500,246000,243900,235800,222300,217600,192800,182700,168900,159100,157200,143500,136000,129900,116300,121800,124500,114900,109300,103100,104500,96500,92900,89800,91200,86000,83400,79200,75100,72300,72300,65800,62600,61800,59700,57600,55900,54300
  Single,36800,35400,30900,36700,34700,31400,31300,30700,27900,28800,23600,24100,19800,17700,14300,13400,12200,9800,10100,9100,6900,7000,7300,5400,5100,4700,4900,3600,3600,3200,2600,2500,2300,2100,2300,2100,1900,1600,1200,1600,1800,1900,1600,2500
